Samples,TimeSeconds,TimeDays,Benchmark_alpha0.02,Manuscript_alpha1e-6
28,28,0.00032407407407407406,0.43202382404994077,2.7999622004060143E-05
30,30,0.00034722222222222224,0.45451568061756309,2.9999565004934503E-05
31,31,0.00035879629629629629,0.46542536700521187,3.0999535005404866E-05
32,32,0.00037037037037037035,0.47611685966510764,3.199950400589735E-05
33,33,0.00038194444444444446,0.48659452247180546,3.2999472006411956E-05
35,35,0.00040509259259259258,0.50692537938192195,3.4999405007507534E-05
36,36,0.00041666666666666669,0.51678687179428351,3.5999370008199527E-05
38,38,0.00043981481481481481,0.53592211167122994,3.7999297009538857E-05
39,39,0.00045138888888888887,0.54520366943780529,3.8999259010297216E-05
41,41,0.00047453703703703704,0.5632136041280682,4.0999180011880298E-05
42,42,0.0004861111111111111,0.57194933204550691,4.1999139012705022E-05
44,44,0.00050925925925925921,0.58890013849650491,4.3999054014531858E-05
46,46,0.00053240740740740744,0.60517969301204322,4.599896501644718E-05
48,48,0.00055555555555555556,0.62081457716876642,4.7998872018673033E-05
50,50,0.00057870370370370367,0.63583031991288319,4.9998775020987374E-05
52,52,0.0006018518518518519,0.65025143924433304,5.1998674023612246E-05
54,54,0.00062500000000000001,0.66410148225025756,5.3998569026325605E-05
56,56,0.00064814814814814813,0.67740306355314728,5.5998460029349495E-05
59,59,0.00068287037037037036,0.69637434419171385,5.8998289034217777E-05
61,61,0.00070601851851851847,0.70839792016172198,6.0998170037795951E-05
63,63,0.0007291666666666667,0.71994536252331787,6.2998047041573635E-05
66,66,0.00076388888888888893,0.73641481564404643,6.5997855047683629E-05
69,69,0.00079861111111111116,0.75191573316565141,6.8997654054325785E-05
72,72,0.00083333333333333339,0.76650507272964585,7.1997444061722149E-05
75,75,0.00086805555555555551,0.78023644241256085,7.4997225069650675E-05
78,78,0.00090277777777777774,0.79316029770716301,7.7996997078333408E-05
81,81,0.00093749999999999997,0.80532412691960009,8.0996760087659325E-05
84,84,0.00097222222222222219,0.81677262566371234,8.399651409773945E-05
88,88,0.0010185185185185184,0.83099690387180714,8.7996172112303483E-05
91,91,0.0010532407407407407,0.84093563794891391,9.0995905124069409E-05
95,95,0.0010995370370370371,0.85328409705336594,9.499553514114023E-05
99,99,0.0011458333333333333,0.86467392255637454,9.8995149159675222E-05
103,103,0.0011921296296296296,0.87517953494830569,0.00010299474717978541
107,107,0.001238425925925926,0.88486957731992444,0.00010699432920158181
112,112,0.0012962962962962963,0.89593121659510522,0.0001119937842311014
116,116,0.0013425925925925925,0.90401026773738868,0.00011599333025680281
121,121,0.0014004629629629629,0.91323288472856179,0.0001209927402914257
126,126,0.0014583333333333334,0.92156940002780408,0.00012599212532915516
131,131,0.0015162037037037036,0.92910494957963063,0.00013099148536988015
136,136,0.0015740740740740741,0.93591648953484352,0.00013599082041393373
142,142,0.0016435185185185185,0.94323211051542277,0.0001419899894712362
148,148,0.001712962962962963,0.94971259762235771,0.00014798912253366492
154,154,0.0017824074074074075,0.95545328775032334,0.00015398821960133091
160,160,0.0018518518518518519,0.96053863436108289,0.00015998728067445622
167,167,0.0019328703703703704,0.96574258091207132,0.00016698613976717791
174,174,0.0020138888888888888,0.97026025978663555,0.00017398494986786694
181,181,0.0020949074074074073,0.9741821721686541,0.00018098371097707844
188,188,0.0021759259259259258,0.97758688444664077,0.00018798242309514546
196,196,0.0022685185185185187,0.98093175006634936,0.0001959808912413985
204,204,0.0023611111111111111,0.9837774380511024,0.00020397929539994752
213,213,0.0024652777777777776,0.98647447527908894,0.00021297742359405181
221,221,0.0025578703703703705,0.98849298370643301,0.00022097569178092247
230,230,0.002662037037037037,0.9904060509164434,0.00022997366700794331
240,240,0.0027777777777777779,0.99216104509316216,0.00023997132228203988
250,250,0.0028935185185185184,0.99359500311120508,0.00024996887757999797
260,260,0.0030092592592592593,0.99476665121396635,0.00025996633290292781
271,271,0.0031365740740740742,0.9958094935576145,0.00027096341828802828
282,282,0.0032638888888888891,0.99664453011606291,0.0002819603827057815
293,293,0.0033912037037037036,0.99731317006743481,0.00029295722615763076
305,305,0.0035300925925925925,0.99789159961808482,0.00030495364469074193
318,318,0.0036805555555555554,0.99837859290078268,0.00031794960231779079
331,331,0.0038310185185185183,0.99875310163859665,0.00033094539099842724
345,345,0.0039930555555555552,0.99906028509809008,0.00034494066679391366
359,359,0.0041550925925925922,0.99929179143689173,0.00035893574665668559
